;baseMean;log2FoldChange;lfcSE;pvalue;padj;symbol;entrez
ENSG00000273344;66.04930209;0.023991148;0.209122017;0.88058649;0.950070351;PAXIP1-AS1;202781
ENSG00000241868;0.643970219;0.004649396;0.308378832;0.880639802;NA;NA;NA
ENSG00000124541;479.4584726;-0.01469837;0.107693598;0.880658463;0.950091036;RRP36;88745
ENSG00000143436;226.1670231;0.019528988;0.148386478;0.880772337;0.950156921;MRPL9;65005
ENSG00000270948;0.660181943;-0.005159825;0.308683208;0.880898893;NA;NA;NA
ENSG00000188643;1142.72349;0.011857288;0.102605323;0.880959158;0.950245715;S100A16;140576
ENSG00000117009;1.603094764;-0.007301053;0.304181999;0.880970896;NA;KMO;8564
ENSG00000100982;529.0882029;-0.014407565;0.101897769;0.881003158;0.950245715;PCIF1;63935
ENSG00000142867;334.1061639;-0.016248415;0.117336801;0.881060491;0.950245715;BCL10;8915
ENSG00000107099;15.0712423;-0.020751507;0.260247095;0.881065883;0.950245715;DOCK8;81704
ENSG00000198000;813.229735;-0.013726423;0.097295185;0.881150889;0.950280438;NOL8;55035
ENSG00000228043;4.210509322;-0.014578155;0.291355175;0.881250046;NA;NA;NA
ENSG00000134398;1.965760921;-0.010941853;0.303204513;0.881406856;NA;ERN2;10595
ENSG00000271265;1.78055241;0.008635025;0.303519854;0.881409169;NA;NA;NA
ENSG00000236049;1.720076468;0.008343701;0.303245182;0.881473777;NA;LINC01920;101929260
ENSG00000259709;2.378268895;-0.010283647;0.303454947;0.881486422;NA;NA;NA
ENSG00000233483;0.568904588;0.001185598;0.308043273;0.881512862;NA;NA;NA
ENSG00000265252;0.568904588;0.001185598;0.308043273;0.881512862;NA;MIR3132;100423039
ENSG00000173988;2.409612054;-0.00935323;0.301392353;0.881639877;NA;LRRC63;220416
ENSG00000006740;35.58774435;-0.022901426;0.223416894;0.881661367;0.950747122;ARHGAP44;9912
ENSG00000203880;972.2043775;0.014214188;0.099877279;0.881694879;0.950747122;PCMTD2;55251
ENSG00000219186;0.492940361;-0.005595585;0.308770151;0.881728199;NA;NA;NA
ENSG00000207523;5.224062926;0.015834121;0.288867734;0.881742134;0.950747122;SNORA66;26782
ENSG00000198774;22.80934993;0.022461085;0.246633549;0.881797857;0.950750233;RASSF9;9182
ENSG00000253873;381.1540579;-0.015713845;0.112178477;0.881862841;0.950763329;PCDHGA11;56105
ENSG00000137860;5.110081187;-0.0148805;0.294779103;0.881966584;0.950818208;SLC28A2;9153
ENSG00000205929;2.810444356;-0.012490893;0.296434894;0.881985347;NA;C21orf62;56245
ENSG00000185614;50.30999897;0.023219715;0.209228396;0.882074863;0.95087797;INKA1;389119
ENSG00000207344;0.546268073;0.002530564;0.308111275;0.882160436;NA;SNORA22C;109616965
ENSG00000231419;0.546268073;0.002530564;0.308111275;0.882160436;NA;LINC00689;154822
ENSG00000234450;0.546268073;0.002530564;0.308111275;0.882160436;NA;NA;NA
ENSG00000266640;0.546268073;0.002530564;0.308111275;0.882160436;NA;MIR4754;100616168
ENSG00000259877;48.60879819;-0.022192232;0.228560455;0.88223298;0.950991448;NA;NA
ENSG00000230832;1.440489841;0.003527855;0.306267087;0.882249402;NA;NA;NA
ENSG00000169696;275.1918117;0.016827676;0.124462677;0.882368091;0.951075383;ASPSCR1;79058
ENSG00000261732;1.122809629;-0.0048529;0.306924945;0.882378377;NA;NA;NA
ENSG00000078319;70.58570487;0.022290995;0.186682339;0.882416557;0.951075383;NA;NA
ENSG00000007171;1.481060192;0.001669129;0.306187462;0.882453462;NA;NOS2;4843
ENSG00000227203;1.894083529;0.009480397;0.303410449;0.882458821;NA;NA;NA
ENSG00000236776;1.28039101;-0.005500508;0.30587386;0.882518013;NA;NA;NA
ENSG00000226278;12.9519288;-0.002329069;0.308366518;0.882605548;0.951222102;NA;NA
ENSG00000264442;1.413849614;0.00698071;0.307422505;0.882866448;NA;NA;NA
ENSG00000126953;74.53957357;0.017928897;0.182442942;0.88291591;0.951499604;TIMM8A;1678
ENSG00000108785;51.23881783;-0.022435945;0.205776699;0.883087352;0.951617689;NA;NA
ENSG00000152382;114.0735905;0.020521793;0.162043887;0.883131254;0.951617689;TADA1;117143
ENSG00000224172;2.056469549;0.007760898;0.303799695;0.883136483;NA;NA;NA
ENSG00000232186;5.557362086;0.014834927;0.289746483;0.883209086;0.951644568;NA;NA
ENSG00000240793;1.209291512;0.002744551;0.305306221;0.883211942;NA;NA;NA
ENSG00000142549;0.374239512;-0.00630445;0.308650017;0.883417327;NA;IGLON5;402665
ENSG00000217791;0.374239512;-0.00630445;0.308650017;0.883417327;NA;NA;NA
ENSG00000222222;0.374239512;-0.00630445;0.308650017;0.883417327;NA;NA;NA
ENSG00000226185;0.374239512;-0.00630445;0.308650017;0.883417327;NA;NA;NA
ENSG00000228347;0.374239512;-0.00630445;0.308650017;0.883417327;NA;NA;NA
ENSG00000235583;0.374239512;-0.00630445;0.308650017;0.883417327;NA;NA;NA
ENSG00000239028;0.374239512;-0.00630445;0.308650017;0.883417327;NA;NA;NA
ENSG00000243749;0.374239512;-0.00630445;0.308650017;0.883417327;NA;TMEM35B;100506144
ENSG00000246323;0.374239512;-0.00630445;0.308650017;0.883417327;NA;NA;NA
ENSG00000251784;0.374239512;-0.00630445;0.308650017;0.883417327;NA;NA;NA
ENSG00000252269;0.374239512;-0.00630445;0.308650017;0.883417327;NA;NA;NA
ENSG00000258500;0.374239512;-0.00630445;0.308650017;0.883417327;NA;NA;NA
ENSG00000268683;0.374239512;-0.00630445;0.308650017;0.883417327;NA;NA;NA
ENSG00000150773;25.91026342;-0.021777163;0.240358324;0.883430847;0.95182464;PIH1D2;120379
ENSG00000224046;6.520090727;0.01543767;0.288063554;0.883482002;0.95182464;LOC101927420;101927420
ENSG00000168274;1.921142392;0.010054952;0.303136271;0.883504943;NA;NA;NA
ENSG00000240386;0.629168966;-0.00658478;0.308425862;0.883588298;NA;LCE1F;353137
ENSG00000252335;0.629168966;-0.00658478;0.308425862;0.883588298;NA;NA;NA
ENSG00000267747;0.629168966;-0.00658478;0.308425862;0.883588298;NA;NA;NA
ENSG00000179412;0.628954378;0.002310714;0.30845093;0.883592629;NA;HNRNPCL4;101060301
ENSG00000219257;0.628954378;0.002310714;0.30845093;0.883592629;NA;NA;NA
ENSG00000188001;9.074604779;0.017040905;0.283312414;0.883741228;0.952046917;TPRG1;285386
